dist_id,state,schlev,agchrt,district,total_enroll_fy20,current_sped_exp_fy20,total_enroll_fy21,current_sped_exp_fy21,total_enroll_fy22,current_sped_exp_fy22,total_enroll_fy23,current_sped_exp_fy23,state_rev_v92_adjusted_fy20,federal_rev_v92_adjusted_fy20,local_rev_v92_adjusted_fy20,state_local_federal_rev_v92_adjusted_fy20,state_sped_rev_fy20,federal_sped_rev_fy20,state_fed_sped_rev_fy20,state_rev_v92_adjusted_fy21,federal_rev_v92_adjusted_fy21,local_rev_v92_adjusted_fy21,state_local_federal_rev_v92_adjusted_fy21,state_sped_rev_fy21,federal_sped_rev_fy21,state_fed_sped_rev_fy21,state_rev_v92_adjusted_fy22,federal_rev_v92_adjusted_fy22,local_rev_v92_adjusted_fy22,state_local_federal_rev_v92_adjusted_fy22,state_sped_rev_fy22,federal_sped_rev_fy22,state_fed_sped_rev_fy22,state_rev_v92_adjusted_fy23,federal_rev_v92_adjusted_fy23,local_rev_v92_adjusted_fy23,state_local_federal_rev_v92_adjusted_fy23,state_sped_rev_fy23,federal_sped_rev_fy23,state_fed_sped_rev_fy23,sped_enroll_fy20,sped_enroll_fy21,sped_enroll_fy22,sped_enroll_fy23
0626310,California,2,3,Mountain View-Los Altos Union High,4521,13195000,4537,17959000,4514,20287000,4430,23679000,16105000,1555000,113602000,131262000,0,837000,837000,18222000,3400000,139149000,160771000,0,722000,722000,18377000,4513000,132757000,155647000,0,1029000,1029000,21344000,4338000,147353000,173035000,303000,1109000,1412000,461,481,504,459
0626340,California,1,3,Mt. Baldy Joint Elementary,109,129000,87,118000,82,110000,93,145000,1039000,52000,397000,1488000,0,15000,15000,1102000,111000,404000,1617000,0,10000,10000,1224000,121000,510000,1855000,0,15000,15000,1445000,116000,542000,2103000,0,19000,19000,10,11,11,19
0626370,California,3,2,Mt. Diablo Unified,30750,75501000,29585,92260000,28857,94375000,28921,106252000,198097000,27778000,223436000,449311000,18438000,7717000,26155000,202113000,52290000,226977000,481380000,21059000,7739000,28798000,232709000,50064000,247143000,529916000,22121000,6862000,28983000,285624000,45652000,263354000,594630000,27416000,9421000,36837000,4097,3900,3873,3922
0626400,California,1,2,Mount Pleasant Elementary,2108,6657000,1927,7331000,1659,8139000,1635,8771000,39898000,23582000,12594000,76074000,14528000,21824000,36352000,47467000,25544000,11234000,84245000,20929000,20905000,41834000,53513000,24974000,12182000,90669000,26690000,21280000,47970000,39077000,25645000,12993000,77715000,6226000,23348000,29574000,310,274,240,237
0626490,California,3,3,Muroc Joint Unified,1780,2593000,1687,3294000,1683,3634000,1738,4802000,14969000,47174000,4314000,66457000,0,316000,316000,16042000,51336000,4521000,71899000,50000,322000,372000,15663000,48629000,6644000,70936000,0,401000,401000,21707000,12718000,4972000,39397000,319000,321000,640000,233,211,243,258
0626640,California,3,2,Napa Valley Unified,17375,32135000,16958,37786000,16513,38289000,16162,40482000,76440000,13552000,150662000,240654000,405000,3465000,3870000,90062000,26341000,148454000,264857000,784000,3489000,4273000,91244000,22332000,164660000,278236000,937000,3590000,4527000,125657000,23351000,189642000,338650000,1851000,4373000,6224000,2249,2118,2232,2177
0626670,California,1,3,National Elementary,5046,10917000,4763,11440000,4433,11946000,4341,13590000,56844000,8092000,19345000,84281000,0,1172000,1172000,58534000,19621000,19125000,97280000,0,1135000,1135000,66517000,14717000,21485000,102719000,0,1344000,1344000,85885000,15087000,27036000,128008000,456000,1045000,1501000,603,566,631,633
0626760,California,3,3,Needles Unified,998,1115000,967,1090000,912,1096000,955,1308000,11175000,2686000,4552000,18413000,0,143000,143000,11228000,4998000,4994000,21220000,0,138000,138000,12426000,5145000,5206000,22777000,0,247000,247000,14398000,5134000,6475000,26007000,193000,209000,402000,184,176,-8,197
0626820,California,1,2,Nevada City Elementary,756,895000,696,901000,665,1024000,684,1131000,1833000,400000,9115000,11348000,0,94000,94000,1988000,661000,9668000,12317000,0,100000,100000,2146000,948000,10078000,13172000,0,135000,135000,3414000,1490000,10827000,15731000,46000,113000,159000,81,70,80,89
0626880,California,2,3,Nevada Joint Union High,2588,5667000,2481,7163000,2481,7390000,2481,8099000,11273000,1969000,33244000,46486000,4000,770000,774000,13019000,3471000,34527000,51017000,8000,731000,739000,11915000,5002000,36719000,53636000,261000,805000,1066000,15691000,4395000,40808000,60894000,640000,1024000,1664000,427,405,401,385
0626910,California,3,3,New Haven Unified,11024,24376000,10791,26206000,10427,27908000,10224,29124000,84227000,8986000,72358000,165571000,0,2119000,2119000,81487000,14506000,72017000,168010000,0,1825000,1825000,88706000,14879000,75112000,178697000,0,2442000,2442000,119825000,10806000,82830000,213461000,493000,2152000,2645000,1194,1117,1120,1130
